"1. YEAR","2. TRIFD","3. FRS ID","4. FACILITY NAME","5. STREET ADDRESS","6. CITY","7. COUNTY","8. ST","9. ZIP","10. BIA","11. TRIBE","12. LATITUDE","13. LONGITUDE","14. HORIZONTAL DATUM","15. PARENT CO NAME","16. PARENT CO DB NUM","17. STANDARD PARENT CO NAME","18. FOREIGN PARENT CO NAME","19. FOREIGN PARENT CO DB NUM","20. STANDARD FOREIGN PARENT CO NAME","21. FEDERAL FACILITY","22. INDUSTRY SECTOR CODE","23. INDUSTRY SECTOR","24. PRIMARY SIC","25. SIC 2","26. SIC 3","27. SIC 4","28. SIC 5","29. SIC 6","30. PRIMARY NAICS","31. NAICS 2","32. NAICS 3","33. NAICS 4","34. NAICS 5","35. NAICS 6","36. DOC_CTRL_NUM","37. CHEMICAL","38. ELEMENTAL METAL INCLUDED","39. TRI CHEMICAL/COMPOUND ID","40. CAS#","41. SRS ID","42. CLEAN AIR ACT CHEMICAL","43. CLASSIFICATION","44. METAL","45. METAL CATEGORY","46. CARCINOGEN","47. PBT","48. PFAS","49. FORM TYPE","50. UNIT OF MEASURE","51. 5.1 - FUGITIVE AIR","52. 5.2 - STACK AIR","53. 5.3 - WATER","54. 5.4 - UNDERGROUND","55. 5.4.1 - UNDERGROUND CL I","56. 5.4.2 - UNDERGROUND C II-V","57. 5.5.1 - LANDFILLS","58. 5.5.1A - RCRA C LANDFILL","59. 5.5.1B - OTHER LANDFILLS","60. 5.5.2 - LAND TREATMENT","61. 5.5.3 - SURFACE IMPNDMNT","62. 5.5.3A - RCRA SURFACE IM","63. 5.5.3B - OTHER SURFACE I","64. 5.5.4 - OTHER DISPOSAL","65. ON-SITE RELEASE TOTAL","66. 6.1 - POTW - TRNS RLSE","67. 6.1 - POTW - TRNS TRT","68. POTW - TOTAL TRANSFERS","69. 6.2 - M10","70. 6.2 - M41","71. 6.2 - M62","72. 6.2 - M40 METAL","73. 6.2 - M61 METAL","74. 6.2 - M71","75. 6.2 - M81","76. 6.2 - M82","77. 6.2 - M72","78. 6.2 - M63","79. 6.2 - M66","80. 6.2 - M67","81. 6.2 - M64","82. 6.2 - M65","83. 6.2 - M73","84. 6.2 - M79","85. 6.2 - M90","86. 6.2 - M94","87. 6.2 - M99","88. OFF-SITE RELEASE TOTAL","89. 6.2 - M20","90. 6.2 - M24","91. 6.2 - M26","92. 6.2 - M28","93. 6.2 - M93","94. OFF-SITE RECYCLED TOTAL","95. 6.2 - M56","96. 6.2 - M92","97. OFF-SITE ENERGY RECOVERY T","98. 6.2 - M40 NON-METAL","99. 6.2 - M50","100. 6.2 - M54","101. 6.2 - M61 NON-METAL","102. 6.2 - M69","103. 6.2 - M95","104. OFF-SITE TREATED TOTAL","105. 6.2 - UNCLASSIFIED","106. 6.2 - TOTAL TRANSFER","107. TOTAL RELEASES","108. 8.1 - RELEASES","109. 8.1A - ON-SITE CONTAINED","110. 8.1B - ON-SITE OTHER","111. 8.1C - OFF-SITE CONTAIN","112. 8.1D - OFF-SITE OTHER R","113. 8.2 - ENERGY RECOVER ON","114. 8.3 - ENERGY RECOVER OF","115. 8.4 - RECYCLING ON SITE","116. 8.5 - RECYCLING OFF SIT","117. 8.6 - TREATMENT ON SITE","118. 8.7 - TREATMENT OFF SITE","119. PRODUCTION WSTE (8.1-8.7)","120. 8.8 - ONE-TIME RELEASE","121. PROD_RATIO_OR_ ACTIVITY","122. 8.9 - PRODUCTION RATIO","Country"
2020,"70057NNCRBHWY31",110018861793,"ST CHARLES OPERATIONS (TAFT/STAR) UNION CARBIDE CORP","355 LA HWY 3142 (GATE 1)","HAHNVILLE","ST. CHARLES PARISH","LA","70057",NA,NA,29.9829,-90.4437,"NAD83","DOW INC","117063457","DOW INC",NA,NA,NA,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325199,325211,NA,NA,NA,NA,1320219123243,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",700,14120,"9990.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","24810.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0.3700000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0.3700000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0.3700000000","24810.3700000000","0E-10","0E-10","24810.0000000000","0.3700000000","0E-10","0E-10","0E-10","0E-10","0E-10","2509029.0000000000","0E-10","2533839.3700000",NA,"PRODUCTION",1,"USA"
2020,"55396HRTLNHWY19",110038158524,"HEARTLAND CORN PRODUCTS","53331 STATE HIGHWAY 19 EAST","WINTHROP","SIBLEY","MN","55396",NA,NA,44.541944,-94.341667,"NAD83",NA,NA,NA,NA,NA,NA,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325193,NA,NA,NA,NA,NA,1320218944369,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",23,3331,"0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","3354.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","3354.0000000000","0E-10","0E-10","3400.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","49000.0000000000","0E-10","52400.0000000",NA,"PRODUCTION",1.1,"USA"
2020,"60609CDPRD6W41S",110003064184,"ACID PRODUCTS CO INC","600 W 41ST ST","CHICAGO","COOK","IL","60609",NA,NA,41.820978,-87.641595,"NAD83","ACID PRODUCTS CO INC","148314503","ACID PRODUCTS CO INC",NA,NA,NA,"NO",4246,"Chemical Wholesalers",NA,NA,NA,NA,NA,NA,424690,NA,NA,NA,NA,NA,1320219298534,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",0,0.03,"0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0.0300000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0.0300000000","0E-10","0E-10","0.0300000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0.0300000",NA,"PRODUCTION",1,"USA"
2020,"81226HLNMN3500S",110000600289,"HOLCIM (US) INC PORTLAND PLANT","3500 STATE HWY 120","FLORENCE","FREMONT","CO","81226",NA,NA,38.386367,-105.017688,"NAD83","HOLCIM PARTICIPATIONS (US)","081260273",NA,NA,NA,NA,"NO",327,"Nonmetallic Mineral Product",NA,NA,NA,NA,NA,NA,327310,NA,NA,NA,NA,NA,1320218938191,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",0,25625,"0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","25625.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","25625.0000000000","0E-10","0E-10","25625.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","25625.0000000",NA,"PRODUCTION",0.94,"USA"
2020,"46221NTNLS1515D",110000397197,"INGREDION INC INDIANAPOLIS PLANT","1515 S  DROVER ST","INDIANAPOLIS","MARION","IN","46221",NA,NA,39.744833,-86.174306,"NAD83","INGREDION INC","004811423","INGREDION INC",NA,NA,NA,"NO",311,"Food",NA,NA,NA,NA,NA,NA,311221,NA,NA,NA,NA,NA,1320218641785,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",772,8814,"0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","9586.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","9586.0000000000","0E-10","0E-10","9586.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","13733.0000000000","0E-10","23319.0000000",NA,"PRODUCTION",1.03,"USA"
2020,"39180NTRNTPOBOX",110000605220,"INTERNATIONAL PAPER-VICKSBURG MILL","3737 HWY 3 N","REDWOOD","WARREN","MS","39156",NA,NA,32.52923,-90.774508,"NAD83","INTERNATIONAL PAPER CO","001316561","INTERNATIONAL PAPER CO",NA,NA,NA,"NO",322,"Paper",NA,NA,NA,NA,NA,NA,322130,NA,NA,NA,NA,NA,1320219058625,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",62.9,13975,"890.1000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","14928.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","14928.0000000000","0E-10","0E-10","14928.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","22419.0000000000","0E-10","37347.0000000",NA,"PRODUCTION",1.03,"USA"
2020,"64801TMKSPRANGE",110000596212,"TAMKO BUILDING PRODUCTS LLC","3001 NEWMAN RD","JOPLIN","JASPER","MO","64801",NA,NA,37.098306,-94.474528,"NAD83","TAMKO BUILDING PRODUCTS LLC",NA,"TAMKO BUILDING PRODUCTS LLC",NA,NA,NA,"NO",324,"Petroleum",NA,NA,NA,NA,NA,NA,324122,NA,NA,NA,NA,NA,1320218740759,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",0,1963,"0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","1963.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","49.5000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","49.5000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","49.5000000000","2012.5000000000","0E-10","0E-10","1963.0000000000","49.5000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","2012.5000000",NA,"PRODUCTION",0.55,"USA"
2020,"78343CLNSNONEMI",110000599790,"TICONA POLYMERS INC","5738 COUNTY RD 4","BISHOP","NUECES","TX","78343",NA,NA,27.559722,-97.837194,"NAD83","CELANESE CORP","170204486","CELANESE CORP",NA,NA,NA,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325199,325412,325211,NA,NA,NA,1320219414962,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",629,24661,"1489.4600000000","0E-10","41756.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","68535.4600000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","9140.0000000000","0E-10","0E-10","0E-10","0E-10","9140.0000000000","0E-10","9140.0000000000","68535.4600000000","0E-10","41756.0000000000","26779.4600000000","0E-10","0E-10","0E-10","0E-10","27728199.0000000000","0E-10","4732704.0000000000","9140.0000000000","32538578.4600000",NA,"PRODUCTION",1.31,"USA"
2020,"23860STNHP910IN",110012503781,"WESTROCK CP LLC","910 INDUSTRIAL ST","HOPEWELL","HOPEWELL (CITY)","VA","23860",NA,NA,37.302012,-77.264354,"NAD83","WESTROCK CO","081092578","WESTROCK CO",NA,NA,NA,"NO",322,"Paper",NA,NA,NA,NA,NA,NA,322130,NA,NA,NA,NA,NA,1320218919381,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",0,5426,"0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","5426.0000000000","372.0000000000","4278.0000000000","4650.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","372.0000000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","4278.0000000000","0E-10","4650.0000000000","5798.0000000000","0E-10","0E-10","5426.0000000000","0E-10","372.0000000000","0E-10","0E-10","0E-10","0E-10","2117.0000000000","4278.0000000000","12193.0000000",NA,"PRODUCTION",1,"USA"
2020,"46952CNTRL2955W",110030482047,"CENTRAL INDIANA ETHANOL LLC","2955 W DELPHI PIKE","MARION","GRANT","IN","46952",NA,NA,40.56492,-85.72772,"NAD83",NA,NA,NA,NA,NA,NA,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325193,NA,NA,NA,NA,NA,1320218754125,"Formaldehyde","NO","0000050000","50-00-0",1008,"YES","TRI","NO","Non_Metal","YES","NO","NO","R","Pounds",11.83,431.2,"0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","443.0300000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","443.0300000000","0E-10","0E-10","443.0300000000","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","0E-10","443.0300000",NA,"PRODUCTION",0.99,"USA"
